Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
421;SWEDISH ORPHAN BIOVITRUM;Health Care;SE;SOBIV.ST;SOBI.ST;SOBIV.ST
422;AMBU 'B';Health Care;DK;AMBUB.CO;AMBU-B.CO;AMBUB.CO
423;DOMETIC GROUP AB;Consumer Products and Services;SE;DOMETIC.ST;DOM.ST;DOMETIC.ST
424;RATIONAL;Industrial Goods and Services;DE;RAAG.DE;RAA.DE;RAAG.BE
425;SECURITAS B;Industrial Goods and Services;SE;SECUB.ST;SECU-B.ST;SECUB.ST
426;ENAGAS;Energy;ES;ENAG.MC;ENG.MC;
427;DIPLOMA;Industrial Goods and Services;GB;DPLM.L;DPLM.L;DPLM.L
428;TRITAX BIG BOX REIT;Real Estate;GB;BBOXT.L;BBOX.L;BBOXT.L
429;KGHM;Basic Resources;PL;KGH.WA;KGH.WA;KGH.WA
430;BEIJER REF AB;Industrial Goods and Services;SE;BEIAB.ST;BEIA-B.ST;BEIAB.ST
431;ELECTROLUX B;Consumer Products and Services;SE;ELUXB.ST;ELUX-B.ST;ELUXB.ST, ELUXA.ST
432;NETCOMPANY GROUP AS;Technology;DK;NETCG.CO;NETC.CO;NETCG.CO
433;ROYAL UNIBREW;Food, Beverage and Tobacco;DK;RBREW.CO;RBREW.CO;RBREW.CO
434;BANK OF IRELAND GROUP;Banks;IE;BIRG.I;BIRG.IR;
435;TENARIS;Energy;IT;TENR.MI;TEN.MI;TENR.MI
436;LANXESS;Chemicals;DE;LXSG.DE;LXS.DE;LXSG.BE
437;IAG;Travel and Leisure;GB;ICAG.L;IAG.L;
438;HIKMA PHARMACEUTICALS;Health Care;GB;HIK.L;HIK.L;HIK.L
439;TECAN;Health Care;CH;TECN.S;TECN.SW;TECN.S
440;TRELLEBORG B;Industrial Goods and Services;SE;TRELB.ST;TREL-B.ST;TRELB.ST
441;SIEMENS GAMESA;Energy;ES;SGREN.MC;SGRE.MC;
442;Naturgy Energy Group;Utilities;ES;NTGY.MC;NTGY.MC;
443;LATOUR INVESTMENT B;Financial Services;SE;LATOB.ST;LATO-B.ST;LATOB.ST
444;ICA GRUPPEN;Personal Care, Drug and Grocery Stores;SE;ICAA.ST;ICA-A.ST;ICAA.ST
445;DIASORIN;Health Care;IT;DIAS.MI;DIA.MI;DIAS.MI
446;AVEVA GRP;Technology;GB;AVV.L;AVV.L;AVV.L
447;Valmet;Industrial Goods and Services;FI;VALMT.HE;VALMT.HE;VALMT.HE
448;PZU GROUP;Insurance;PL;PZU.WA;PZU.WA;PZUAKORD.WA
449;CASTELLUM;Real Estate;SE;CAST.ST;CAST.ST;CAST.ST
450;JOHNSON MATTHEY;Chemicals;GB;JMAT.L;JMAT.L;JMAT.L
451;BRITISH LAND COMPANY;Real Estate;GB;BNLD.L;BLND.L;BLND.L, 33DR.L, 33DS.L, 33DT.L, 33DU.L, 70QA.L
452;JERONIMO MARTINS;Personal Care, Drug and Grocery Stores;PT;JMT.LS;JMT.LS;JMT.LS, 0EXG.L
453;NORDIC SEMICONDUCTOR;Technology;NO;NOD.OL;NOD.OL;NOD.OL
454;PSP SWISS PROPERTY;Real Estate;CH;PSPN.S;PSPN.SW;PSPN.S
455;INTERPUMP GRP;Industrial Goods and Services;IT;ITPG.MI;IP.MI;ITPG.MI
456;INDUSTRIVARDEN A;Financial Services;SE;INDUA.ST;INDU-A.ST;INDUA.ST, INDUC.ST
457;THULE GROUP;Consumer Products and Services;SE;THULE.ST;THULE.ST;THULE.ST
458;GRIFOLS;Health Care;ES;GRLS.MC;GRF.MC;
459;BELIMO HOLDING;Construction and Materials;CH;BEAN.S;BEAN.SW;BEAN.S
460;VIFOR PHARMA;Health Care;CH;VIFN.S;VIFN.SW;VIFN.S
461;AALBERTS;Industrial Goods and Services;NL;AALB.AS;AALB.AS;AALB.AS
462;SPECTRIS;Industrial Goods and Services;GB;SXS.L;SXS.L;SXS.L
463;BECHTLE;Technology;DE;BC8G.DE;BC8.DE;BC8G.BE
464;ITV;Media;GB;ITV.L;ITV.L;ITV.L
465;SCOUT24;Technology;DE;G24N.DE;G24.DE;
466;EVONIK INDUSTRIES;Chemicals;DE;EVKN.DE;EVK.DE;EVKN.BE
467;IMI;Industrial Goods and Services;GB;IMI.L;IMI.L;IMI.L
468;SIGNIFY;Construction and Materials;NL;LIGHT.AS;LIGHT.AS;LIGHT.AS
469;GEORG FISCHER;Industrial Goods and Services;CH;FIN.S;FIN.SW;FIN.S
470;WEIR GRP;Industrial Goods and Services;GB;WEIR.L;WEIR.L;WEIR.L
471;ADDTECH B;Industrial Goods and Services;SE;ADDTB.ST;ADDT-B.ST;ADDTB.ST
472;HUSQVARNA B;Consumer Products and Services;SE;HUSQB.ST;HUSQ-B.ST;HUSQB.ST, HUSQA.ST
473;ASR NEDERLAND NV;Insurance;NL;ASRNL.AS;ASRNL.AS;ASRNL.AS
474;EDP RENOVAVEIS;Utilities;PT;EDPR.LS;EDPR.LS;EDPR.LS
475;MARKS & SPENCER GRP;Retail;GB;MKS.L;MKS.L;MKS.L
476;VERBUND;Utilities;AT;VERB.VI;VER.VI;VERB.VI
477;EVOTEC;Health Care;DE;EVTG.DE;EVT.DE;EVTG.BE
478;POSTE ITALIANE;Insurance;IT;PST.MI;PST.MI;PST.MI
479;RECORDATI;Health Care;IT;RECI.MI;REC.MI;RECI.MI
480;BERKELEY GRP HLDG;Consumer Products and Services;GB;BKY.L;BKY.L;BKY.L
481;WDP;Real Estate;BE;WDPP.BR;WDP.BR;
482;LAND SECURITIES;Real Estate;GB;LAND.L;LAND.L;
483;PEARSON;Media;GB;PSON.L;PSON.L;PSON.L
484;SCHRODERS;Financial Services;GB;SDR.L;SDR.L;SDR.L, SDRT.L
485;BALOISE;Insurance;CH;BALN.S;BALN.SW;BALN.S
486;DS SMITH;Industrial Goods and Services;GB;SMDS.L;SMDS.L;SMDS.L
487;WARTSILA;Industrial Goods and Services;FI;WRT1V.HE;WRT1V.HE;WRT1V.HE
488;POLYMETAL INTERNATIONAL;Basic Resources;GB;POLYP.L;POLY.L;POLYP.L
489;LUNDIN ENERGY;Energy;SE;LUNE.ST;LUNE.ST;
490;B&M EUROPEAN VALUE RETAIL;Retail;GB;BMEB.L;BME.L;
491;SOFINA;Financial Services;BE;SOF.BR;SOF.BR;
492;TELE2 B;Telecommunications;SE;TEL2B.ST;TEL2-B.ST;
493;SAINSBURY (J);Personal Care, Drug and Grocery Stores;GB;SBRY.L;SBRY.L;
494;ABRDN;Financial Services;GB;ABDN.L;ABDN.L;
495;SINCH;Technology;SE;SINCH.ST;SINCH.ST;
496;GEA GRP;Industrial Goods and Services;DE;G1AG.DE;G1A.DE;
497;CARL ZEISS MEDITEC;Health Care;DE;AFXG.DE;AFX.DE;
498;HOWDEN JOINERY GRP;Retail;GB;HWDN.L;HWDN.L;
499;METSO OUTOTEC;Industrial Goods and Services;FI;MOCORP.HE;MOCORP.HE;
500;DECHRA PHARMACEUTICALS;Health Care;GB;DPH.L;DPH.L;
501;ORKLA;Food, Beverage and Tobacco;NO;ORK.OL;ORK.OL;
502;HARGREAVES LANSDOWN;Financial Services;GB;HRGV.L;HL.L;
503;ACCOR;;FR;ACCP.PA;AC.PA;
504;AEROPORT DE PARIS;;FR;ADP.PA;ADP.PA;
505;A.S.T. GROUPE;;FR;ASTP.PA;ASP.PA;
506;AB SCIENCE;;FR;ABS.PA;AB.PA;
507;ABC ARBITRAGE;;FR;BITI.PA;ABCA.PA;
508;ABIVAX;;FR;ABVX.PA;ABVX.PA;
509;ACTEOS;;FR;DTNC.PA;EOS.PA;
510;ACTIA GROUP;;FR;MRSP.PA;ATI.PA;
511;ADOCIA;;FR;ADOC.PA;ADOC.PA;
512;AIR FRANCE -KLM;;FR;AIRF.PA;AF.PA;
513;Air Liquide S.A;;FR;AIRP.PA;AI.PA;
514;AIRBUS SE;;FR;AIR.PA;AIR.PA;
515;AKKA TECHNOLOGIES;;FR;AKA.PA;AKA.PA;
516;AKWEL;;FR;AKW.PA;AKW.PA;
517;ALBIOMA;;FR;ABIO.PA;ABIO.PA;
518;ALPES (COMPAGNIE);;FR;CDAF.PA;CDA.PA;
519;ALSTOM;;FR;ALSO.PA;ALO.PA;
520;ALTEN;;FR;LTEN.PA;ATE.PA;
521;ALTUR INVEST.;;FR;ALTUR.PA;ALTUR.PA;
522;AMPLITUDE SURGICAL;;FR;AMPLI.PA;AMPLI.PA;
523;AMUNDI;;FR;AMUN.PA;AMUN.PA;
525;ARKEMA;;FR;AKE.PA;AKE.PA;
526;ASSYSTEM;;FR;ASY.PA;ASY.PA;
527;ATARI;;FR;ATAR.PA;ATA.PA;
528;ATEME;;FR;ATEME.PA;ATEME.PA;
529;Atos SE;;FR;ATOS.PA;ATO.PA;
530;AUBEY;;FR;AUBT.PA;AUB.PA;
531;AUREA;;FR;AUER.PA;AURE.PA;
532;AURES TECHNOLOGIES;;FR;AURS.PA;AURS.PA;
533;Axa;;FR;AXAF.PA;CS.PA;
534;AXWAY SOFTWARE;;FR;AXW.PA;AXW.PA;
535;BASTIDE LE CONFORT;;FR;BATD.PA;BLC.PA;
536;BENETEAU;;FR;CHBE.PA;BEN.PA;
537;BIC;;FR;BICP.PA;BB.PA;
538;BIGBEN INTERACTIVE;;FR;BGBN.PA;BIG.PA;
539;BIOMERIEUX;;FR;BIOX.PA;BIM.PA;
540;BNP;;FR;BNPP.PA;BNP.PA;
541;BOIRON;;FR;BOIR.PA;BOI.PA;
542;BOLLORE;;FR;BOLL.PA;BOL.PA;
543;BONDUELLE;;FR;BOND.PA;BON.PA;
544;BOURSE DIRECT;;FR;BDRP.PA;BSD.PA;
545;Bouygues;;FR;BOUY.PA;EN.PA;
546;BUREAU VERITAS;;FR;BVI.PA;BVI.PA;
547;CAFOM;;FR;CAFO.PA;CAFO.PA;
548;CAPELLI;;FR;CAPLI.PA;CAPLI.PA;
549;Capgemini;;FR;CAPP.PA;CAP.PA;
550;Carrefour;;FR;CARR.PA;CAR.PA;
551;CASINO GUICHARD;;FR;CASP.PA;CO.PA;
552;CAST;;FR;YAS.PA;CAS.PA;
553;CATANA GROUP;;FR;CATGR.PA;CATF.PA;
554;CATERING INTL SCES;;FR;CTRG.PA;CTRG.PA;
555;CBO TERRITORIA;;FR;CBOT.PA;CBOT.PA;
556;CEGEDIM;;FR;CGDM.PA;CGM.PA;
557;CGG;;FR;GEPH.PA;CGG.PA;
558;CHARGEURS;;FR;CRIP.PA;CRI.PA;
559;CIBOX INTER A CTIV;;FR;CIBP.PA;CIB.PA;
560;CLARANOVA;;FR;AVQ.PA;CLA.PA;
561;CNIM CONSTR.FRF 10;;FR;CNIM.PA;COM.PA;
562;CNP ASSURANCES;;FR;CNPP.PA;CNP.PA;
563;COFACE;;FR;COFA.PA;COFA.PA;
564;Compagnie de Saint-Gobain S.A.;;FR;SGOB.PA;SGO.PA;
565;Credit Agricole S.A.;;FR;CAGR.PA;ACA.PA;
566;Danone;;FR;DANO.PA;BN.PA;
567;Dassault Systemes SA;;FR;DAST.PA;DSY.PA;
568;DBV TECHNOLOGIES;;FR;DBV.PA;DBV.PA;
569;DERICHEBOURG;;FR;DBG.PA;DBG.PA;
570;DIAGNOSTIC MEDICAL;;FR;DMSP.PA;DGM.PA;
571;EDENRED;;FR;EDEN.PA;EDEN.PA;
572;EDF;;FR;EDF.PA;EDF.PA;
573;EGIDE;;FR;EGID.PA;GID.PA;
574;EIFFAGE;;FR;FOUG.PA;FGR.PA;
575;EKINOPS;;FR;EKI.PA;EKI.PA;
576;ELIOR GROUP;;FR;ELIOR.PA;ELIOR.PA;
577;ELIS;;FR;ELIS.PA;ELIS.PA;
578;Engie;;FR;ENGIE.PA;ENGI.PA;
579;ERAMET;;FR;ERMT.PA;ERA.PA;
580;ERYTECH PHARMA;;FR;ERYP.PA;ERYP.PA;
581;ESI GROUP;;FR;ESIG.PA;ESI.PA;
582;EssilorLuxottica;;FR;ESLX.PA;EL.PA;
583;ESSO;;FR;ESSF.PA;ES.PA;
584;EURAZEO;;FR;EURA.PA;RF.PA;
585;EUROFINS SCIENTIFIC;;FR;EUFI.PA;ERF.PA;
586;EUROPACORP;;FR;ECP.PA;ECP.PA;
587;EUROPCAR;;FR;EUCAR.PA;EUCAR.PA;
588;EUTELSAT COMMUNIC.;;FR;ETL.PA;ETL.PA;
589;EXEL INDUSTRIES;;FR;EXEP.PA;EXE.PA;
590;FAURECIA;;FR;EPED.PA;EO.PA;
591;FDJ;;FR;FDJ.PA;FDJ.PA;
592;FERMENTALG;;FR;FALG.PA;FALG.PA;
593;PEUGEOT;;FR;PEUP.PA;PEUG.PA;
594;FIGEAC AERO;;FR;FGA.PA;FGA.PA;
595;FONC. PARIS NORD;;FR;FPN.PA;FPN.PA;
596;GECINA;;FR;GFCP.PA;GFC.PA;
597;GENERIX;;FR;GENX.PA;GENX.PA;
598;GENFIT;;FR;GNFT.PA;GNFT.PA;
599;GENOMIC VISION;;FR;GVI.PA;GV.PA;
600;GENSIGHT BIOLOGICS;;FR;SIGHT.PA;SIGHT.PA;
601;GETLINK;;FR;GETP.PA;GET.PA;
602;GROUPE CRIT;;FR;CITT.PA;CEN.PA;
603;GROUPE FNAC;;FR;FNAC.PA;FNAC.PA;
604;GROUPE GORGE;;FR;GOEG.PA;GOE.PA;
605;GROUPE SFPI;;FR;SFPI.PA;SFPI.PA;
606;GTT;;FR;GTT.PA;GTT.PA;
607;GUERBET;;FR;GRBT.PA;GBT.PA;
608;GUILLEMOT;;FR;GTCN.PA;GUI.PA;
609;HAULOTTE GROUP;;FR;PYHE.PA;PIG.PA;
610;Hermes International;;FR;HRMS.PA;RMS.PA;
611;HIGH CO;;FR;HIGH.PA;HCO.PA;
612;HOPSCOTCH GROUPE;;FR;HOP.PA;HOP.PA;
613;IMERYS;;FR;IMTP.PA;NK.PA;
614;INNATE PHARMA;;FR;IPH.PA;IPH.PA;
615;INTERPARFUMS;;FR;IPAR.PA;ITP.PA;
616;INVENTIVA PROM;;FR;IVAA.PA;IVA.PA;
617;IPSEN;;FR;IPN.PA;IPN.PA;
618;IPSOS;;FR;ISOS.PA;IPS.PA;
619;ITESOFT;;FR;ITFT.PA;ITE.PA;
620;JACQUET METAL SCE;;FR;JCQ.PA;JCQ.PA;
621;JC DECAUX;;FR;JCDX.PA;DEC.PA;
622;KAUFMAN ET BROAD;;FR;KOF.PA;KOF.PA;
623;Kering;;FR;PRTP.PA;KER.PA;
624;KORIAN;;FR;KORI.PA;KORI.PA;
625;LAGARDERE S.C.A.;;FR;LAGA.PA;MMB.PA;
626;LECTRA;;FR;LECS.PA;LSS.PA;
627;Legrand SA;;FR;LEGD.PA;LR.PA;
628;LINEDATA SERVICES;;FR;LDSV.PA;LIN.PA;
629;LISI;;FR;GFII.PA;FII.PA;
630;L'Oreal;;FR;OREP.PA;OR.PA;
631;Lvmh Moet Hennessy Vuitton SE;;FR;LVMH.PA;MC.PA;
632;MAISONS DU MONDE;;FR;MDM.PA;MDM.PA;
633;MANITOU BF;;FR;MANP.PA;MTU.PA;
634;MAUNA KEA TECH;;FR;MKEA.PA;MKEA.PA;
635;MAUREL ET PROM;;FR;MAUP.PA;MAU.PA;
636;MBWS;;FR;MBWS.PA;MBWS.PA;
637;MCPHY ENERGY;;FR;MCPHY.PA;MCPHY.PA;
638;MEDINCELL REG;;FR;MEDCL.PA;MEDCL.PA;
639;MEMSCAP REGPT;;FR;MEMS.PA;MEMS.PA;
640;MERSEN;;FR;CBLP.PA;MRN.PA;
641;METABOLIC EXPLORER;;FR;METEX.PA;METEX.PA;
642;METROPOLE TV;;FR;MMTP.PA;MMT.PA;
643;Michelin (CGDE)-B;;FR;MICP.PA;ML.PA;
644;MICROPOLE;;FR;MIPO.PA;MUN.PA;
645;NANOBIOTIX;;FR;NANOB.PA;NANO.PA;
646;NAVYA;;FR;NAVYA.PA;NAVYA.PA;
647;NEOEN;;FR;NEOEN.PA;NEOEN.PA;
648;NEURONES;;FR;NRO.PA;NRO.PA;
649;NEXANS;;FR;NEXS.PA;NEX.PA;
650;NEXITY;;FR;NEXI.PA;NXI.PA;
651;NICOX;;FR;NCOX.PA;COX.PA;
652;Orange.;;FR;ORAN.PA;ORA.PA;
653;ORAPI;;FR;ORPF.PA;ORAP.PA;
654;OREGE;;FR;OREGE.PA;OREGE.PA;
655;ORPEA;;FR;ORP.PA;ORP.PA;
656;OSE IMMUNO;;FR;OSE.PA;OSE.PA;
657;PARROT;;FR;PARRO.PA;PARRO.PA;
658;PASSAT;;FR;PASS.PA;PSAT.PA;
659;Pernod Ricard;;FR;PERP.PA;RI.PA;
660;PHARMAGEST INTER.;;FR;PHAI.PA;PHA.PA;
661;PIERRE VACANCES;;FR;PVAC.PA;VAC.PA;
662;PLASTIC OMNIUM;;FR;PLOF.PA;POM.PA;
663;PLASTIVALOIRE;;FR;PLVP.PA;PVL.PA;
664;POXEL;;FR;POXEL.PA;POXEL.PA;
665;PROLOGUE;;FR;PRSW.PA;PROL.PA;
666;Publicis Groupe SA;;FR;PUBP.PA;PUB.PA;
667;LUMIBIRD;;FR;LBIRD.PA;LBIRD.PA;
668;REMY COINTREAU;;FR;RCOP.PA;RCO.PA;
669;Renault S.A.;;FR;RENA.PA;RNO.PA;
670;REXEL;;FR;RXL.PA;RXL.PA;
671;ROBERTET;;FR;ROBF.PA;RBT.PA;
672;ROTHSCHILD & CO;;FR;ROTH.PA;ROTH.PA;
673;RUBIS;;FR;RUBF.PA;RUI.PA;
674;Safran SA;;FR;SAF.PA;SAF.PA;
675;SAINT GOBAIN;;FR;SGOB.PA;SGO.PA;
676;Sanofi;;FR;SASY.PA;SAN.PA;
677;SARTORIUS BIOTECH;;FR;STDM.PA;DIM.PA;
678;Schneider Electric SE;;FR;SCHN.PA;SU.PA;
679;SCOR SE;;FR;SCOR.PA;SCR.PA;
680;SECHE ENVIRONNEM.;;FR;CCHE.PA;SCHP.PA;
681;SERGEFERRARI GROUP;;FR;SEFER.PA;SEFER.PA;
682;SHOWROOMPRIVE;;FR;SRPG.PA;SRP.PA;
683;SIGNAUX GIROD;;FR;GIRO.PA;ALGIR.PA;
684;SMTPC;;FR;SMTPC.PA;SMTPC.PA;
685;SOCIETE GENERALE;;FR;SOGN.PA;GLE.PA;
686;SODEXO;;FR;EXHO.PA;SW.PA;
687;SOGECLAIR;;FR;SCLR.PA;SOG.PA;
688;SOITEC;;FR;SOIT.PA;SOI.PA;
690;SOPRA STERIA GROUP;;FR;SOPR.PA;SOP.PA;
691;SPIE;;FR;SPIE.PA;SPIE.PA;
692;SQLI;;FR;SQLI.PA;SQI.PA;
693;ST DUPONT;;FR;DPTP.PA;DPT.PA;
694;ST MICROELECTRONICS;;FR;STM.PA;STM.PA;
695;STELLANTIS;;FR;STLA.PA;STLA.PA;
696;SOLUTION 30;;FR;S30.PA;S30.PA;
697;SUEZ;;FR;SEVI.PA;SEV.PA;
698;SWORD GROUP;;FR;SWOR.PA;SWP.PA;
699;SYNERGIE;;FR;SDGI.PA;SGD.PA;
700;TARKETT;;FR;TKTT.PA;TKTT.PA;
701;TELEPERFORMANCE;;FR;TEPRF.PA;TEP.PA;
702;TESSI;;FR;TESI.PA;TES.PA;
703;THALES;;FR;TCFP.PA;HO.PA;
704;TOTAL;;FR;TTEF.PA;TTE.PA;
705;TOUAX;;FR;TETR.PA;TOUP.PA;
706;TRANSGENE;;FR;TRNG.PA;TNG.PA;
707;TRIGANO;;FR;TRIA.PA;TRI.PA;
708;UBISOFT;;FR;UBIP.PA;UBI.PA;
710;UNION TECH.INFOR.;;FR;UTIN.PA;FPG.PA;
711;VALEO;;FR;VLOF.PA;FR.PA;
712;VALLOUREC;;FR;VLLP.PA;VK.PA;
713;VALNEVA;;FR;VLS.PA;VLA.PA;
714;VEOLIA;;FR;VIE.PA;VIE.PA;
715;VICAT;;FR;VCTP.PA;VCT.PA;
716;VILMORIN & CIE;;FR;VILM.PA;RIN.PA;
717;VINCI;;FR;SGEF.PA;DG.PA;
718;VIRBAC;;FR;VIRB.PA;VIRP.PA;
719;VIVENDI;;FR;VIV.PA;VIV.PA;
720;VOLTALIA;;FR;VLTSA.PA;VLTSA.PA;
721;VRANKEN-POMMERY;;FR;VRKP.PA;VRAP.PA;
722;WENDEL;;FR;MWDP.PA;MF.PA;
723;WORLDLINE;;FR;WLN.PA;WLN.PA;
724;XILAM ANIMATION;;FR;XIL.PA;XIL.PA;
725;S.E.B.;;FR;SEBF.PA;SEB.PA;
